Number of agent;root branch;max-arguments-per-branch; rand-seed;max-arguments-at-once;number of round;runtime;issu value;
6;12;10;8988;2;8;0.016646385192871094;0.13967409378117726;
6;12;10;8988;2;8;0.01760578155517578;0.13967409378117726;
6;12;10;8988;2;8;0.01836228370666504;0.13967409378117726;
2;12;10;8988;2;5;0.003788471221923828;0.16216216216216214;
2;12;10;8988;2;5;0.0037398338317871094;0.16216216216216214;
3;12;10;8988;2;17;0.015802383422851562;0.1589927809971066;
3;12;10;8988;2;17;0.01640772819519043;0.1589927809971066;
3;12;10;8988;2;17;0.017090797424316406;0.1589927809971066;
3;12;10;8988;2;17;0.016094446182250977;0.1589927809971066;
5;12;10;8988;2;10;0.019290685653686523;0.13118664281454978;
