Number of agent;root branch;max-arguments-per-branch; rand-seed; max-arguments-at-once; number of round; runtime; freq-deep-arg; issue value; std_goal_issues_values; std_from_final_issue_value
10;5;10;453;2;4;0.012025594711303711; 19:28:3; 0.3003742254939469; 0.043340840260067286; 0.04336908928236582
10;5;10;453;2;4;0.011937856674194336; 19:28:3; 0.3003742254939469; 0.043340840260067286; 0.04336908928236582
10;5;10;453;2;4;0.017368078231811523; 19:28:3; 0.3003742254939469; 0.043340840260067286; 0.04336908928236582
10;5;10;453;2;4;0.01710367202758789; 19:28:3; 0.3003742254939469; 0.043340840260067286; 0.04336908928236582
2;2;2;1;1;2;0.00029206275939941406; 3:3; 0.4; 0.033333333333333354; 0.047140452079103196
2;2;12;1;1;5;0.000993967056274414; 6:6; 0.47619047619047616; 0.06520021074815596; 0.08514734927662065
2;2;22;1;1;1;0.0006377696990966797; 2:2; 0.6666666666666666; 0.0007328132659481512; 0.03515777445574909
2;2;32;1;1;1;0.00046896934509277344; 3:1; 0.5; 0.025500544616326976; 0.029267347488646164
2;2;42;1;1;19;0.010952949523925781; 11:29; 0.5927460069763172; 0.036902676440571214; 0.051905935953886345
2;2;52;1;1;19;0.011166095733642578; 11:29; 0.5927460069763172; 0.036902676440571214; 0.051905935953886345
2;2;62;1;1;19;0.011202096939086914; 11:29; 0.5927460069763172; 0.036902676440571214; 0.051905935953886345
2;2;72;1;1;1;0.00038623809814453125; 3:1; 0.5; 0.028045386426889307; 0.02961933341547532
2;2;82;1;1;1;0.0007030963897705078; 3:1; 0.5; 0.03463949477711051; 0.03790530344733033
2;2;92;1;1;1;0.000659942626953125; 3:1; 0.5; 0.03463949477711051; 0.03790530344733033
2;2;102;1;1;1;0.0006580352783203125; 3:1; 0.5; 0.03463949477711051; 0.03790530344733033
2;2;112;1;1;1;0.0006706714630126953; 3:1; 0.5; 0.02521012030464234; 0.0350642429892149
2;2;122;1;1;1;0.000728607177734375; 3:1; 0.5; 0.02521012030464234; 0.0350642429892149
2;2;132;1;1;2;0.0010595321655273438; 3:3; 0.6; 0.03646517272300043; 0.0592100068927166
2;2;142;1;1;2;0.0009613037109375; 3:3; 0.6; 0.03646517272300043; 0.0592100068927166
2;2;152;1;1;1;0.0007076263427734375; 3:1; 0.5; 0.014575118476872428; 0.054757657432117135
2;2;162;1;1;1;0.0008251667022705078; 3:1; 0.5; 0.014575118476872428; 0.054757657432117135
2;2;172;1;1;1;0.0006816387176513672; 3:1; 0.5; 0.014575118476872428; 0.054757657432117135
2;2;182;1;1;1;0.0006716251373291016; 3:1; 0.5; 0.014575118476872428; 0.054757657432117135
2;2;192;1;1;1;0.0006866455078125; 3:1; 0.5; 0.014575118476872428; 0.054757657432117135
2;2;202;1;1;1;0.0006706714630126953; 3:1; 0.5; 0.014575118476872428; 0.054757657432117135
2;2;212;1;1;1;0.0006928443908691406; 3:1; 0.5; 0.014575118476872428; 0.054757657432117135
2;2;222;1;1;1;0.0007417201995849609; 3:1; 0.5; 0.014575118476872428; 0.054757657432117135
2;2;232;1;1;1;0.0006737709045410156; 3:1; 0.5; 0.014575118476872428; 0.054757657432117135
2;2;242;1;1;1;0.0007145404815673828; 3:1; 0.5; 0.014575118476872428; 0.054757657432117135
