Round,Debator 1,Debator 2,Debator 3,Debator 4,Debator 5,Debator 6,Debator 7,Debator 8,Debator 9,Debator 10,issu,
Initial State,0.295105982059694,0.28483974272281043,0.29548741728780265,0.27778520527478423,0.296152306007077,0.29451225535342185,0.2886773502907007,0.29302286672518424,0.2875416736405021,0.29141633839270964,1,
ROUND 1,2=>0,3=>0,-,1=>0,102=>3,-,-,-,-,-,0.2857142857142857,
ROUND 2,-,-,-,106=>102,92=>106,112=>106,-,-,-,-,0.28,
ROUND 3,-,-,-,95=>92,109=>95,88=>95,-,-,-,-,0.2795698924731183,
ROUND 4,-,-,-,100=>112,104=>100,-,-,-,-,-,0.27888446215139445,
ROUND 5,-,-,-,114=>109,81=>114,-,75=>114,-,-,-,0.27884615384615385,
ROUND 6,-,-,-,111=>109,94=>111,85=>111,78=>111,-,-,-,0.2788259958071279,
ROUND 7,-,-,-,91=>94,103=>91,-,-,-,-,-,0.2788244159758855,
ROUND 8,-,-,-,113=>103,83=>113,-,-,-,-,-,0.278824200913242,
ROUND 9,-,-,-,90=>103,-,-,-,-,-,-,0.2788239815526518,
ROUND 10,-,-,-,-,-,-,-,-,-,-,0.2788239815526518,
