Round;issu before;Debator1;issu before;Debator2;issu before;Debator3;issu before;Debator4;issu before;Debator5;issu before;Debator6;issu before;Debator7;issu before;Debator8;issu before;Debator9;issu before;Debator10;issu;Run Time;
Initial State; - ;0.29; - ;0.32; - ;0.33; - ;0.33; - ;0.30; - ;0.27; - ;0.30; - ;0.32; - ;0.27; - ;0.31;1.00;0;
ROUND 1;1;1,18;0.6666666666666666;2,91;0.5;3,128;0.4;5,256;0.3333333333333333;237;0.31578947368421056;4,187;0.27272727272727276;23;0.2857142857142857;212,201;0.30000000000000004;146;0.2857142857142857;19;0.30;0.009698867797851562;
ROUND 2;0.30000000000000004;113,139;0.29126213592233013;192;0.31578947368421056;127;0.33994334277620397;121;0.3302286198137172;99;0.32311516155758074;85;0.3130016051364366;8;0.30660377358490565;90;0.32311516155758074;7;0.3130016051364366;152,148;0.31;0.011505126953125;
ROUND 3;0.31451612903225806;227;0.31008312251535963;42,98;0.31473038830372585;15;0.31858688733290896;9;0.32196847861048566;263;0.3164116828929068;130;0.3149515459160129;293;0.3118499368724824;265;0.3143515126138386;202;0.3134328358208955;165,194;0.31;0.01387333869934082;
ROUND 4;0.31438030804663886;27;0.3129746926141412;215,269;0.3149103845448237;10;0.3163827819367903;34;0.3178192467573926;59;0.3130810006713254;17;0.31193457907004307;45;0.3111991716260422;11;0.31312219832947197;13;0.3123401841757828;47;0.31;0.010297775268554688;
ROUND 5;0.31359235383769196;111;0.31294776909195926;55;0.3146229660402377;188;0.31575186134876354;172;0.31640058910813196;65;0.3157423068364787;250;0.3152156513396826;14;0.3146001327384589;44;0.31525365612202605;220;0.31475510276956925;100;0.31;0.012380123138427734;
ROUND 6;0.3146175645975165;84;0.3140980628987163;30;0.31438036742389835;118;0.31465325240348935;132;0.3150308733135679;123;0.31438036742389835;184;0.3140982350851747;186;0.31373988910174677;70;0.3139821868180805;75;0.3135764381849326;12;0.31;0.013944864273071289;
ROUND 7;0.3138006418274844;283;0.3135158650432639;226;0.3137183471410176;93;0.3139106559621428;32;0.31406477540274663;102;0.3137475210203943;182;0.3136055398361204;131;0.31353102292388135;190;0.31367293662761064;16;0.3135860686885017;46;0.31;0.015692949295043945;
ROUND 8;0.31374922433462205;48;0.31368143059300874;183;0.31381112324396415;287;0.31393954058239215;126;0.3140624886093746;28;0.31397471831983703;97;0.31391301305532043;153;0.31386246771073967;56;0.31396515484358317;38;0.3138477482735693;95;0.31;0.018047332763671875;
ROUND 9;0.31393373364296484;72;0.3138853983457461;168;0.3139483181844066;62;0.31399969054941573;157;0.31404813168596885;107;0.3139937158810863;285;0.3139476260150113;135;0.3138994245089551;174;0.31396903142925475;103;0.31393720892306476;76;0.31;0.015138626098632812;
ROUND 10;0.3139917160597957;173;0.31396535085859184;175;0.3140094688728451;106;0.3140456765147214;52;0.3140764270402023;213;0.31405465913846575;40;0.31403374629439235;67;0.31401876963006764;64;0.3140397005845762;50;0.3140260305016166;66;0.31;0.016541481018066406;
ROUND 11;0.3140556231983241;21;0.3140385496439951;74;0.31406996746117505;140;0.31408820646880853;159;0.31410486907266716;149;0.314076984106365;22;0.31406668306043223;115;0.3140596896367284;133;0.31407649781043967;162;0.31407352924180154;81;0.31;0.015826702117919922;
