Round;issu before;Debator1;issu before;Debator2;issu before;Debator3;issu before;Debator4;issu before;Debator5;issu;Run Time;
Initial State; - ;0.26548672566371684; - ;0.1635750100089604; - ;0.15612192378810116; - ;0.14067781127249473; - ;0.13172338090010977;1;0;
ROUND 1;1;3;0.5;2;0.3333333333333333;11;0.25;8;0.2;7;0.16666666666666666;0.0018231868743896484;
ROUND 2;0.16666666666666666;20;0.18181818181818182;6,30;0.16666666666666666;1,14;0.15384615384615385;12,52;0.14285714285714285;9,43;0.13333333333333333;0.0024979114532470703;
ROUND 3;0.13333333333333333;-;0.13333333333333333;40;0.14285714285714285;34;0.15384615384615385;4;0.13333333333333333;53,55;0.13157894736842105;0.003158092498779297;
ROUND 4;0.13157894736842105;-;0.13157894736842105;51;0.14084507042253522;36;0.14423076923076922;41;0.14084507042253522;5,24;0.13157894736842105;0.0033483505249023438;
ROUND 5;0.13157894736842105;-;0.13157894736842105;39;0.13636363636363635;29;0.13953488372093023;33;0.1411764705882353;50;0.13793103448275862;0.002790689468383789;
ROUND 6;0.13793103448275862;-;0.13793103448275862;19;0.1411764705882353;49;0.14251781472684083;45,47;0.1405152224824356;26;0.13729977116704803;0.0030298233032226562;
ROUND 7;0.13729977116704803;-;0.13729977116704803;21;0.1388888888888889;23;0.14018691588785048;54;0.14075067024128687;13;0.137524557956778;0.0030596256256103516;
ROUND 8;0.137524557956778;-;0.137524557956778;46;0.13806706114398423;16;0.13934970139349703;-;0.13934970139349703;42;0.13743455497382198;0.0021970272064208984;
ROUND 9;0.13743455497382198;-;0.13743455497382198;27;0.13797634691195795;-;0.13797634691195795;-;0.13797634691195795;25;0.1377500819940964;0.0026443004608154297;
ROUND 10;0.1377500819940964;-;0.1377500819940964;-;0.1377500819940964;-;0.1377500819940964;-;0.1377500819940964;-;0.1377500819940964;0.0022516250610351562;
