Round;issue before;Debator1;issue before;Debator2;issue before;Debator3;issue before;Debator4;issue before;Debator5;issue before;Debator6;issue;Runtime;
Initial State; - ;0.26548672566371684; - ;0.1635750100089604; - ;0.15612192378810116; - ;0.14067781127249473; - ;0.13172338090010977; - ;0.2142857142857143;1;0;
ROUND 1;1;2;0.5;8;0.3333333333333333;11;0.25;12;0.2;7;0.16666666666666666;21;0.18181818181818182;0.0017981529235839844;
ROUND 2;0.18181818181818182;52;0.2;6;0.16666666666666666;1,14;0.15384615384615385;9,43;0.14285714285714285;5,24;0.13333333333333333;40;0.14285714285714285;0.0023195743560791016;
ROUND 3;0.14285714285714285;20;0.14634146341463417;30;0.15789473684210528;53,54;0.15544041450777202;4;0.13452914798206278;26;0.13157894736842105;51;0.1408450704225352;0.002899169921875;
ROUND 4;0.1408450704225352;55;0.1414141414141414;36;0.15217391304347827;34;0.15613382899628253;10;0.135048231511254;50;0.1320754716981132;39;0.135048231511254;0.002564668655395508;
ROUND 5;0.135048231511254;-;0.135048231511254;48;0.14482758620689654;29;0.14840989399293286;45;0.14482758620689654;3;0.12650602409638553;22;0.135048231511254;0.0019979476928710938;
ROUND 6;0.135048231511254;-;0.135048231511254;19;0.13658536585365855;23;0.13784049885132918;33;0.13944223107569723;13;0.13627514600908502;-;0.13627514600908502;0.002505064010620117;
ROUND 7;0.13627514600908502;-;0.13627514600908502;46;0.137524557956778;16;0.13879709187045605;47;0.13934970139349703;42;0.1380670611439842;-;0.1380670611439842;0.0014331340789794922;
ROUND 8;0.1380670611439842;-;0.1380670611439842;27;0.1386138613861386;49;0.13990672884743505;-;0.13990672884743505;25;0.13967409378117726;-;0.13967409378117726;0.0011723041534423828;
ROUND 9;0.13967409378117726;-;0.13967409378117726;-;0.13967409378117726;-;0.13967409378117726;-;0.13967409378117726;-;0.13967409378117726;-;0.13967409378117726;0.0006797313690185547;
