Round;issue before;Debator1;issue before;Debator2;issue before;Debator3;issue;Runtime;
Initial State; - ;0.26548672566371684; - ;0.1635750100089604; - ;0.15612192378810116;1;0;
ROUND 1;1;2;0.5;8;0.3333333333333333;11;0.25;0.0009131431579589844;
ROUND 2;0.25;-;0.25;6;0.2;1;0.16666666666666666;0.0007498264312744141;
ROUND 3;0.16666666666666666;20;0.18181818181818182;7,36;0.16666666666666666;12,52;0.15384615384615385;0.0009436607360839844;
ROUND 4;0.15384615384615385;-;0.15384615384615385;40,41;0.16216216216216217;53;0.15789473684210528;0.00093841552734375;
ROUND 5;0.15789473684210528;55;0.15957446808510642;39,42;0.1639344262295082;37;0.15957446808510636;0.0009233951568603516;
ROUND 6;0.15957446808510636;-;0.15957446808510636;19;0.1639344262295082;5,24;0.15151515151515152;0.0009553432464599609;
ROUND 7;0.15151515151515152;-;0.15151515151515152;30;0.1639344262295082;32;0.15957446808510636;0.0009300708770751953;
ROUND 8;0.15957446808510636;-;0.15957446808510636;21;0.16172506738544473;26;0.15748031496062992;0.001024484634399414;
ROUND 9;0.15748031496062992;-;0.15748031496062992;29;0.16438356164383564;10,48;0.1518987341772152;0.001066446304321289;
ROUND 10;0.1518987341772152;-;0.1518987341772152;14;0.16438356164383564;17;0.16;0.001054525375366211;
ROUND 11;0.16;-;0.16;23;0.16172506738544473;13;0.15957446808510642;0.0009725093841552734;
ROUND 12;0.15957446808510642;-;0.15957446808510642;34;0.16666666666666666;9,43;0.15384615384615385;0.0009334087371826172;
ROUND 13;0.15384615384615385;-;0.15384615384615385;51;0.16666666666666666;50;0.16216216216216217;0.0009255409240722656;
ROUND 14;0.16216216216216217;-;0.16216216216216217;54;0.16291698991466255;45;0.15861027190332327;0.0008463859558105469;
ROUND 15;0.15861027190332327;-;0.15861027190332327;46;0.1603053435114504;15;0.15903067020068157;0.0007774829864501953;
ROUND 16;0.15903067020068157;-;0.15903067020068157;27;0.1597565614302016;38;0.15860482680490234;0.0007030963897705078;
ROUND 17;0.15860482680490234;-;0.15860482680490234;31;0.15923621762283077;28;0.1589927809971066;0.0006124973297119141;
ROUND 18;0.1589927809971066;-;0.1589927809971066;-;0.1589927809971066;-;0.1589927809971066;0.00037288665771484375;
