Round;issue before;Debator1;issue before;Debator2;issue before;Debator3;issue before;Debator4;issue before;Debator5;issue;Runtime;
Initial State; - ;0.26548672566371684; - ;0.1635750100089604; - ;0.15612192378810116; - ;0.14067781127249473; - ;0.13172338090010977;1;0;
ROUND 1;1;2;0.5;8;0.3333333333333333;11;0.25;12;0.2;7;0.16666666666666666;0.0017540454864501953;
ROUND 2;0.16666666666666666;20;0.18181818181818182;6,30;0.16666666666666666;1,14;0.15384615384615385;9,43;0.14285714285714285;5,24;0.13333333333333333;0.002201080322265625;
ROUND 3;0.13333333333333333;52;0.14285714285714285;40;0.15384615384615385;39,38;0.15625;4;0.13513513513513511;53;0.13215859030837004;0.0024290084838867188;
ROUND 4;0.13215859030837004;55;0.13333333333333333;36;0.14285714285714285;51;0.15384615384615385;10;0.13333333333333333;26,23;0.13157894736842105;0.002514362335205078;
ROUND 5;0.13157894736842105;-;0.13157894736842105;48;0.14084507042253522;34;0.14423076923076922;32;0.14084507042253522;50;0.13761467889908255;0.0022013187408447266;
ROUND 6;0.13761467889908255;-;0.13761467889908255;29;0.14285714285714285;49;0.14423076923076922;45;0.14084507042253522;13;0.13761467889908255;0.0019464492797851562;
ROUND 7;0.13761467889908255;-;0.13761467889908255;19;0.14084507042253522;16;0.14218009478672985;18;0.14084507042253522;3;0.1234567901234568;0.0015654563903808594;
ROUND 8;0.1234567901234568;-;0.1234567901234568;21;0.1252236135957066;46;0.12627781118460613;33;0.12812690665039658;35;0.12950971322849214;0.0013813972473144531;
ROUND 9;0.12950971322849214;-;0.12950971322849214;54;0.12999071494893222;27;0.13047530288909598;47;0.13096351730589337;-;0.13096351730589337;0.0012722015380859375;
ROUND 10;0.13096351730589337;-;0.13096351730589337;31;0.13118664281454978;-;0.13118664281454978;-;0.13118664281454978;-;0.13118664281454978;0.001009225845336914;
ROUND 11;0.13118664281454978;-;0.13118664281454978;-;0.13118664281454978;-;0.13118664281454978;-;0.13118664281454978;-;0.13118664281454978;0.0007174015045166016;
