Round;issue before;Debator1;issue before;Debator2;issue;Runtime;
Initial State; - ;34525313341343458976829246721872492885433745741996316506229033556905239228860890799455987169971247269241945435397034937275839427751447410107982772961008580484464225106902456742469248273163995610090130495531931615746115649521532852589959749811579369578924284168619061137885278809218733560682427188850504790928320/295229861074824121083787558598332041972782407897681309353244407024678710467247424523672109168260597569541110625845801222528089953576092044895161320531782416208745401758784474159408898423598575759880039312595646188716526854480948620189697111081610696661299219509969532756148039491080490551064205342126184962013623; - ;9756453797301232561292237524716388250443653359246522791633946293817830494057945596736471284143389477541593664258991980136717191947159094009904410745169044502808856899554718414388308815319442029083148090736455403836426349077289695458317842998050016679770357988450522306957960391061422743763914775144797862297558673830523144365279997791620934270616159403534604742479412/87621030710548804599715753770190500348838636231394303037530771687542046220032639069229890557433791488798278088875220965001247953890974961034527788323056792542160226730737629299990356972299998054187898099557599017447429926571947194510143789538258393386649927782544721195407938209727216082791449175555116691866744125492440419826787460126762923659286652914955525434422259;1;0;
ROUND 1;1;9;1/2;5;1/3;0.008792400360107422;
ROUND 2;1/3;12;1/4;4;1/5;0.008916854858398438;
ROUND 3;1/5;13;1/6;14;1/7;0.008008956909179688;
ROUND 4;1/7;1;1/8;2;1/9;0.007723569869995117;
ROUND 5;1/9;1867;2/17;1708;3/26;0.009355783462524414;
ROUND 6;3/26;1628;5/43;1589;7/61;0.009605884552001953;
ROUND 7;7/61;1812;3/26;1593;4/35;0.009960174560546875;
ROUND 8;4/35;1841;23/201;1614;4/35;0.011156320571899414;
ROUND 9;4/35;1869;59/516;1715;85/744;0.009387016296386719;
ROUND 10;85/744;-;85/744;1570;144/1261;0.009416580200195312;
ROUND 11;144/1261;1768;229/2005;1578;347/3039;0.009830713272094727;
ROUND 12;347/3039;-;347/3039;1847;547/4791;0.009518623352050781;
ROUND 13;547/4791;1580;149/1305;1646;1417/12411;0.010449409484863281;
ROUND 14;1417/12411;1731;1967/17228;1836;3384/29639;0.010475397109985352;
ROUND 15;3384/29639;1659;5519/48338;1666;2311/20241;0.010593175888061523;
ROUND 16;2311/20241;1749;14763/129302;1803;22213/194554;0.010795116424560547;
ROUND 17;22213/194554;1873;35562/311471;1814;10658/93349;0.010968446731567383;
ROUND 18;10658/93349;1744;22213/194554;1800;31077/272191;0.01115560531616211;
ROUND 19;31077/272191;1845;12969/113590;1813;8347/73108;0.011018991470336914;
ROUND 20;8347/73108;1689;93611/819900;1569;8347/73108;0.011074542999267578;
ROUND 21;8347/73108;1776;112099/981828;1789;93611/819900;0.011327981948852539;
ROUND 22;93611/819900;1649;166286/1456429;1594;284938/2495653;0.011163473129272461;
ROUND 23;284938/2495653;1647;409489/3586542;1823;10658/93349;0.011482954025268555;
ROUND 24;10658/93349;1751;1091601/9560878;1794;1636847/14336466;0.012017250061035156;
ROUND 25;1636847/14336466;1779;10479611/91786558;1605;826839/7241942;0.011429548263549805;
ROUND 26;826839/7241942;1582;1636847/14336466;1807;162698/1425005;0.01133584976196289;
ROUND 27;162698/1425005;1644;16797362/147121179;1746;2918697/25563674;0.011362075805664062;
ROUND 28;2918697/25563674;1781;65386281/572691670;1747;39872420/349226249;0.011591672897338867;
